id,key,value,type
474889582,Crossing,Hall Road,naptan
474889582,Indicator,Adj,naptan
474889582,Landmark,Hall Road,naptan
474889582,NaptanCode,esxdjptp,naptan
474889582,Street,Colchester Road,naptan
474889582,verified,no,naptan
474889582,source,naptan_import,regular
474889584,name,Colchester Road,regular
474889584,AtcoCode,150027011012,naptan
474889584,Bearing,NW,naptan
474889584,BusStopType,CUS,naptan
474889584,CommonName,Colchester Road,naptan
474889584,Crossing,Normandie Way,naptan
474889584,Indicator,NW-bound,naptan
474889584,Landmark,Colchester Road,naptan
474889584,NaptanCode,esxdjpwa,naptan
474889584,Street,Colchester Road,naptan
474889584,verified,no,naptan
474889584,source,naptan_import,regular
474889585,highway,bus_stop,regular
474889585,name,Colchester Road,regular
474889585,AtcoCode,150027011013,naptan
474889585,Bearing,SE,naptan
474889585,CommonName,Colchester Road,naptan
474889585,Crossing,Normandie Way,naptan
474889585,Indicator,SE-bound,naptan
474889585,Landmark,Colchester Road,naptan
474889585,NaptanCode,esxdjptw,naptan
474889585,Street,Colchester Road,naptan
474889585,verified,no,naptan
474889585,source,naptan_import,regular
474889587,name,Peartree Hill,regular
474889587,AtcoCode,1500270110Y0,naptan
474889587,Bearing,W,naptan
474889587,BusStopType,CUS,naptan
474889587,CommonName,Peartree Hill,naptan
474889587,Crossing,Peartree Hill,naptan
474889587,Indicator,Towards,naptan
474889587,Landmark,Peartree Hill,naptan
474889587,NaptanCode,esxgtpda,naptan
474889587,Street,Lower Road B1508,naptan
474889587,verified,no,naptan
474889587,source,naptan_import,regular
474889589,name,Hall Road,regular
474889589,AtcoCode,1500270110Y1,naptan
474889589,Bearing,SE,naptan
474889589,BusStopType,CUS,naptan
474889589,CommonName,Hall Road,naptan
474889589,Crossing,Hall Road,naptan
474889589,Indicator,Opp,naptan
474889589,Landmark,Hall Road,naptan
474889589,NaptanCode,esxgpdwd,naptan
474889589,Street,Colchester Road,naptan
474889589,verified,no,naptan
474889589,source,naptan_import,regular
474889590,name,Colchester Road,regular
474889590,AtcoCode,1500270110Y3,naptan
474889590,Bearing,SE,naptan
474889590,BusStopType,CUS,naptan
474889590,CommonName,Colchester Road,naptan
474889590,Crossing,Anerley House Road,naptan
474889590,Indicator,SE-bound,naptan
474889590,Landmark,Colchester Road,naptan
474889590,NaptanCode,esxgtdat,naptan
474889590,PlusbusZoneRef,CLCHSTR,naptan
474889590,Street,Colchester Road,naptan
474889590,verified,no,naptan
474889590,source,naptan_import,regular
474889592,name,Hall Road Cottages,regular
474889592,AtcoCode,1500270110Y4,naptan
474889592,Bearing,SE,naptan
474889592,BusStopType,CUS,naptan
474889592,CommonName,Hall Road Cottages,naptan
474889592,Crossing,Hall Road,naptan
474889592,Indicator,Opp,naptan
474889592,Landmark,Hall Road Cottages,naptan
474889592,NaptanCode,esxgtapm,naptan
474889592,PlusbusZoneRef,CLCHSTR,naptan
474889592,Street,Colchester Road,naptan
474889592,verified,no,naptan
474889592,source,naptan_import,regular
474889593,name,Colchester Road,regular
474889593,AtcoCode,1500270110Y5,naptan
474889593,Bearing,W,naptan
474889593,BusStopType,CUS,naptan
474889593,CommonName,Colchester Road,naptan
474889593,Crossing,Packards Lane,naptan
474889593,Indicator,W-bound,naptan
474889593,Landmark,Colchester Road,naptan
474889593,NaptanCode,esxgtmpj,naptan
474889593,Street,Colchester Road,naptan
474889593,verified,no,naptan
474889593,source,naptan_import,regular
474889594,name,Chapel Corner,regular
474889594,AtcoCode,1500270110Y6,naptan
474889594,Bearing,SE,naptan
474889594,BusStopType,CUS,naptan
474889594,CommonName,Chapel Corner,naptan
474889594,Crossing,Little Horkesley Road,naptan
474889594,Indicator,SE-bound,naptan
474889594,Landmark,Chapel Corner,naptan
474889594,NaptanCode,esxgpgag,naptan
474889594,Street,Main Road,naptan
474889594,verified,no,naptan
474889594,source,naptan_import,regular
474889596,highway,bus_stop,regular
474889596,name,Hillcroft Farm,regular
474889596,AtcoCode,1500270110Y9,naptan
474889596,Bearing,S,naptan
474889596,BusStopType,CUS,naptan
474889596,CommonName,Hillcroft Farm,naptan
474889596,Crossing,Colchester Road B1508,naptan
474889596,Indicator,o/s,naptan
474889596,Landmark,Hillcroft Farm,naptan
474889596,NaptanCode,esxgtdjm,naptan
474889596,Street,Sandy Hill B1508,naptan
474889596,verified,no,naptan
474889596,source,naptan_import,regular
474889597,name,Henny Road,regular
474889597,AtcoCode,150027012004,naptan
474889597,Bearing,S,naptan
474889597,BusStopType,CUS,naptan
474889597,CommonName,Henny Road,naptan
474889597,Crossing,Tymperley Farm Road,naptan
474889597,Indicator,S-bound,naptan
474889597,Landmark,Henny Road,naptan
474889597,NaptanCode,esxdjpwj,naptan
474889597,Street,Henny Road,naptan
474889597,verified,no,naptan
